customer_id,recency,frequency,monetary_value,age,income,region,avg_transaction_value,transaction_frequency_per_month,Entertainment_spending,Gas Station_spending,Grocery_spending,Healthcare_spending,Online_spending,Restaurant_spending,Retail_spending,Entertainment_pct,Gas Station_pct,Grocery_pct,Healthcare_pct,Online_pct,Restaurant_pct,Retail_pct,cluster,segment
1,3,41,3948.28,25,51815,Urban_Mid_Income,96.29951219512196,1.7083333333333333,55.08,330.02,1022.25,0.0,683.84,963.42,893.6700000000001,1.3950378392616531,8.358576392758364,25.891020900240104,0.0,17.319946913592755,24.401004994579917,22.634412959567204,4,New_Customers
2,3,63,5402.38,28,47446,Suburban,85.7520634920635,2.625,490.62,547.22,1662.92,0.0,1050.57,994.0,657.05,9.081552945183418,10.129239335255944,30.781248264653726,0.0,19.446429166404435,18.39929808713937,12.162232201363102,3,New_Customers
3,1,55,5159.14,34,48077,Rural,93.80254545454547,2.2916666666666665,253.87,238.37,1310.3,0.0,1130.55,960.53,1265.52,4.920781370538501,4.620343700694303,25.397643793345402,0.0,21.913535976926386,18.618025484867633,24.529669673627776,3,New_Customers
4,2,63,6321.06,42,63499,Suburban,100.33428571428573,2.625,571.11,414.1,1608.6,85.97,1312.17,1522.42,806.69,9.035035263072967,6.551116426675274,25.44826342417253,1.3600566993510583,20.758701863295084,24.084884497220408,12.761941826212695,2,VIP_Champions
5,39,48,4200.01,38,42221,Rural,87.50020833333333,2.0,431.53999999999996,518.76,1107.0,177.10000000000002,518.68,784.49,662.44,10.27473744110133,12.351399163335325,26.357080102190235,4.216656627008032,12.349494405965698,18.678288861216995,15.772343399182384,4,New_Customers
6,6,54,5910.75,59,59555,Rural,109.45833333333333,2.25,831.34,290.81,1653.08,150.24,616.87,1254.31,1114.1,14.064881783191643,4.920018610159455,27.967347629319462,2.541809415048852,10.436408239225141,21.22082646026308,18.84870786279237,0,Potential_Loyalists
7,2,59,6559.28,43,98555,Urban_High_Income,111.17423728813559,2.4583333333333335,430.96000000000004,556.91,1999.28,548.75,1197.16,1358.74,467.48,6.570233318291032,8.490413581978508,30.480174653315608,8.366009683989706,18.25139344562208,20.7147735727092,7.127001744093864,2,VIP_Champions
8,24,56,6487.47,32,108862,Urban_High_Income,115.84767857142857,2.3333333333333335,317.69,652.53,1811.71,356.47,1337.11,944.12,1067.84,4.8969783289942,10.058312408381079,27.926294842211213,5.494746025800505,20.610654076242355,14.5529767382354,16.460037580135243,2,VIP_Champions
9,34,36,2530.74,36,28657,Rural,70.29833333333333,1.5,365.73,439.9,341.69,0.0,545.14,575.39,262.89,14.451504303089216,17.382267637133804,13.501584516781653,0.0,21.540735120952768,22.736037680678383,10.387870741364186,4,New_Customers
10,27,50,6173.73,80,126395,Urban_Mid_Income,123.4746,2.0833333333333335,394.15999999999997,422.13,1415.75,0.0,1032.39,922.8399999999999,1986.46,6.38447097621697,6.837519619419702,22.931841852494358,0.0,16.72230564018835,14.947851622924874,32.17601028875574,0,Potential_Loyalists
